origin,destination,distance_km,duration_mins,,League
Aberbargoed Buds,Aberbargoed Buds,NA,NA,NA,South East
Abergavenny Town,Aberbargoed Buds,35.32,43.4,21.94682372,South East
Abertillery Bluebirds,Aberbargoed Buds,12.67,26.78,7.87277057,South East
Abertillery Excelsiors,Aberbargoed Buds,14.26,29.98,8.86075046,South East
Caldicot Town,Aberbargoed Buds,46.91,57.72,29.14851361,South East
Chepstow Town,Aberbargoed Buds,54.57,52.13,33.90821547,South East
Croesyceiliog,Aberbargoed Buds,21.28,34.27,13.22277488,South East
Goytre FC,Aberbargoed Buds,23.51,33.43,14.60843221,South East
Llandrindod Wells,Aberbargoed Buds,86.63,100.58,53.82936973,South East
Monmouth Town,Aberbargoed Buds,23.51,33.43,14.60843221,South East
Newport City,Aberbargoed Buds,32.19,47.33,20.00193249,South East
Panteg,Aberbargoed Buds,20.29,30.92,12.60761759,South East
Rhayader Town,Aberbargoed Buds,95.77,107.63,59.50870067,South East
Tredegar Town,Aberbargoed Buds,10.15,18.2,6.30691565,South East
Treowen Stars,Aberbargoed Buds,7.79,16.77,4.84048009,South East
Trethomas Bluebirds,Aberbargoed Buds,8.05,15.9,5.00203655,South East
Aberbargoed Buds,Abergavenny Town,35.07,42.05,21.79148097,South East
Abergavenny Town,Abergavenny Town,NA,NA,NA,South East
Abertillery Bluebirds,Abergavenny Town,21.99,29.95,13.66394829,South East
Abertillery Excelsiors,Abergavenny Town,23.59,33.15,14.65814189,South East
Caldicot Town,Abergavenny Town,51.43,49.28,31.95711053,South East
Chepstow Town,Abergavenny Town,59.09,43.7,36.71681239,South East
Croesyceiliog,Abergavenny Town,22.08,29.6,13.71987168,South East
Goytre FC,Abergavenny Town,12.51,18.82,7.77335121,South East
Llandrindod Wells,Abergavenny Town,65.25,77.75,40.54445775,South East
Monmouth Town,Abergavenny Town,12.51,18.82,7.77335121,South East
Newport City,Abergavenny Town,33.67,40.48,20.92156157,South East
Panteg,Abergavenny Town,40.49,46.12,25.15931179,South East
Rhayader Town,Abergavenny Town,74.39,84.8,46.22378869,South East
Tredegar Town,Abergavenny Town,23.55,28.8,14.63328705,South East
Treowen Stars,Abergavenny Town,28.12,37,17.47295252,South East
Trethomas Bluebirds,Abergavenny Town,36.48,45.68,22.66761408,South East
Aberbargoed Buds,Abertillery Bluebirds,12.65,26.97,7.86034315,South East
Abergavenny Town,Abertillery Bluebirds,22.25,31.52,13.82550475,South East
Abertillery Bluebirds,Abertillery Bluebirds,NA,NA,NA,South East
Abertillery Excelsiors,Abertillery Bluebirds,1.91,4.43,1.18681861,South East
Caldicot Town,Abertillery Bluebirds,47.54,56.63,29.53997734,South East
Chepstow Town,Abertillery Bluebirds,55.19,51.05,34.29346549,South East
Croesyceiliog,Abertillery Bluebirds,21.9,33.18,13.6080249,South East
Goytre FC,Abertillery Bluebirds,24.14,32.35,14.99989594,South East
Llandrindod Wells,Abertillery Bluebirds,76.8,94.7,47.7212928,South East
Monmouth Town,Abertillery Bluebirds,24.14,32.35,14.99989594,South East
Newport City,Abertillery Bluebirds,33.5,44.07,20.8159285,South East
Panteg,Abertillery Bluebirds,20.8,33.43,12.9245168,South East
Rhayader Town,Abertillery Bluebirds,85.94,101.75,53.40062374,South East
Tredegar Town,Abertillery Bluebirds,21.03,26.98,13.06743213,South East
Treowen Stars,Abertillery Bluebirds,10.01,18.88,6.21992371,South East
Trethomas Bluebirds,Abertillery Bluebirds,18.67,28.93,11.60099657,South East
Aberbargoed Buds,Abertillery Excelsiors,14.3,30.15,8.8856053,South East
Abergavenny Town,Abertillery Excelsiors,23.9,34.7,14.8507669,South East
Abertillery Bluebirds,Abertillery Excelsiors,1.91,4.48,1.18681861,South East
Abertillery Excelsiors,Abertillery Excelsiors,NA,NA,NA,South East
Caldicot Town,Abertillery Excelsiors,49.18,59.82,30.55902578,South East
Chepstow Town,Abertillery Excelsiors,56.84,54.23,35.31872764,South East
Croesyceiliog,Abertillery Excelsiors,23.55,36.37,14.63328705,South East
Goytre FC,Abertillery Excelsiors,25.78,35.53,16.01894438,South East
Llandrindod Wells,Abertillery Excelsiors,78.44,97.88,48.74034124,South East
Monmouth Town,Abertillery Excelsiors,25.78,35.53,16.01894438,South East
Newport City,Abertillery Excelsiors,35.14,47.25,21.83497694,South East
Panteg,Abertillery Excelsiors,22.44,36.62,13.94356524,South East
Rhayader Town,Abertillery Excelsiors,87.59,104.93,54.42588589,South East
Tredegar Town,Abertillery Excelsiors,22.67,30.17,14.08648057,South East
Treowen Stars,Abertillery Excelsiors,11.66,22.07,7.24518586,South East
Trethomas Bluebirds,Abertillery Excelsiors,20.31,32.12,12.62004501,South East
Aberbargoed Buds,Caldicot Town,46.31,51.5,28.77569101,South East
Abergavenny Town,Caldicot Town,52.2,40.48,32.4355662,South East
Abertillery Bluebirds,Caldicot Town,46.88,50.07,29.12987248,South East
Abertillery Excelsiors,Caldicot Town,48.48,53.27,30.12406608,South East
Caldicot Town,Caldicot Town,NA,NA,NA,South East
Chepstow Town,Caldicot Town,8.23,15.87,5.11388333,South East
Croesyceiliog,Caldicot Town,25.52,23.73,15.85738792,South East
Goytre FC,Caldicot Town,36.31,31.05,22.56198101,South East
Llandrindod Wells,Caldicot Town,116,112,72.079036,South East
Monmouth Town,Caldicot Town,36.31,31.05,22.56198101,South East
Newport City,Caldicot Town,19.95,24.98,12.39635145,South East
Panteg,Caldicot Town,31.19,27.97,19.38056149,South East
Rhayader Town,Caldicot Town,125.14,119.05,77.75836694,South East
Tredegar Town,Caldicot Town,71.84,57.02,44.63929264,South East
Treowen Stars,Caldicot Town,40.45,40.63,25.13445695,South East
Trethomas Bluebirds,Caldicot Town,55.62,44.82,34.56065502,South East
Aberbargoed Buds,Chepstow Town,54.34,53.1,33.76530014,South East
Abergavenny Town,Chepstow Town,60.23,42.08,37.42517533,South East
Abertillery Bluebirds,Chepstow Town,54.92,51.67,34.12569532,South East
Abertillery Excelsiors,Chepstow Town,56.51,54.87,35.11367521,South East
Caldicot Town,Chepstow Town,8.29,15.8,5.15116559,South East
Chepstow Town,Chepstow Town,NA,NA,NA,South East
Croesyceiliog,Chepstow Town,33.55,25.33,20.84699705,South East
Goytre FC,Chepstow Town,44.34,32.65,27.55159014,South East
Llandrindod Wells,Chepstow Town,124.03,113.6,77.06864513,South East
Monmouth Town,Chepstow Town,44.34,32.65,27.55159014,South East
Newport City,Chepstow Town,27.98,26.58,17.38596058,South East
Panteg,Chepstow Town,39.22,29.57,24.37017062,South East
Rhayader Town,Chepstow Town,133.17,120.65,82.74797607,South East
Tredegar Town,Chepstow Town,79.87,58.62,49.62890177,South East
Treowen Stars,Chepstow Town,48.48,42.23,30.12406608,South East
Trethomas Bluebirds,Chepstow Town,63.65,46.42,39.55026415,South East
Aberbargoed Buds,Croesyceiliog,21.52,35.43,13.37190392,South East
Abergavenny Town,Croesyceiliog,23.11,28.1,14.35988381,South East
Abertillery Bluebirds,Croesyceiliog,22.1,34,13.7322991,South East
Abertillery Excelsiors,Croesyceiliog,23.7,37.2,14.7264927,South East
Caldicot Town,Croesyceiliog,26.18,31.27,16.26749278,South East
Chepstow Town,Croesyceiliog,33.84,25.68,21.02719464,South East
Croesyceiliog,Croesyceiliog,NA,NA,NA,South East
Goytre FC,Croesyceiliog,11.52,14.98,7.15819392,South East
Llandrindod Wells,Croesyceiliog,86.9,99.62,53.9971399,South East
Monmouth Town,Croesyceiliog,11.52,14.98,7.15819392,South East
Newport City,Croesyceiliog,12.15,18.7,7.54965765,South East
Panteg,Croesyceiliog,18.96,24.33,11.78119416,South East
Rhayader Town,Croesyceiliog,96.04,106.67,59.67647084,South East
Tredegar Town,Croesyceiliog,42.75,44.63,26.56361025,South East
Treowen Stars,Croesyceiliog,15.66,24.57,9.73066986,South East
Trethomas Bluebirds,Croesyceiliog,24.02,33.25,14.92533142,South East
Aberbargoed Buds,Goytre FC,23.58,34.17,14.65192818,South East
Abergavenny Town,Goytre FC,13.58,18.07,8.43821818,South East
Abertillery Bluebirds,Goytre FC,24.15,32.73,15.00610965,South East
Abertillery Excelsiors,Goytre FC,25.75,35.93,16.00030325,South East
Caldicot Town,Goytre FC,37.31,39.35,23.18335201,South East
Chepstow Town,Goytre FC,44.97,33.77,27.94305387,South East
Croesyceiliog,Goytre FC,11.68,15.9,7.25761328,South East
Goytre FC,Goytre FC,NA,NA,NA,South East
Llandrindod Wells,Goytre FC,77.38,89.58,48.08168798,South East
Monmouth Town,Goytre FC,NA,NA,NA,South East
Newport City,Goytre FC,23.28,26.78,14.46551688,South East
Panteg,Goytre FC,30.09,32.42,18.69705339,South East
Rhayader Town,Goytre FC,86.52,96.63,53.76101892,South East
Tredegar Town,Goytre FC,33.22,34.6,20.64194462,South East
Treowen Stars,Goytre FC,17.72,23.3,11.01069412,South East
Trethomas Bluebirds,Goytre FC,26.08,31.98,16.20535568,South East
Aberbargoed Buds,Llandrindod Wells,87.26,100.78,54.22083346,South East
Abergavenny Town,Llandrindod Wells,65.38,78.07,40.62523598,South East
Abertillery Bluebirds,Llandrindod Wells,76.6,93.98,47.5970186,South East
Abertillery Excelsiors,Llandrindod Wells,78.2,97.18,48.5912122,South East
Caldicot Town,Llandrindod Wells,116.03,120.08,72.09767713,South East
Chepstow Town,Llandrindod Wells,123.69,114.5,76.85737899,South East
Croesyceiliog,Llandrindod Wells,86.68,100.4,53.86043828,South East
Goytre FC,Llandrindod Wells,77.11,89.62,47.91391781,South East
Llandrindod Wells,Llandrindod Wells,NA,NA,NA,South East
Monmouth Town,Llandrindod Wells,77.11,89.62,47.91391781,South East
Newport City,Llandrindod Wells,98.27,111.28,61.06212817,South East
Panteg,Llandrindod Wells,105.08,116.92,65.29366468,South East
Rhayader Town,Llandrindod Wells,19.06,22.53,11.84333126,South East
Tredegar Town,Llandrindod Wells,82.08,91.3,51.00213168,South East
Treowen Stars,Llandrindod Wells,92.71,107.8,57.60730541,South East
Trethomas Bluebirds,Llandrindod Wells,88.88,97.15,55.22745448,South East
Aberbargoed Buds,Monmouth Town,23.58,34.17,14.65192818,South East
Abergavenny Town,Monmouth Town,13.58,18.07,8.43821818,South East
Abertillery Bluebirds,Monmouth Town,24.15,32.73,15.00610965,South East
Abertillery Excelsiors,Monmouth Town,25.75,35.93,16.00030325,South East
Caldicot Town,Monmouth Town,37.31,39.35,23.18335201,South East
Chepstow Town,Monmouth Town,44.97,33.77,27.94305387,South East
Croesyceiliog,Monmouth Town,11.68,15.9,7.25761328,South East
Goytre FC,Monmouth Town,NA,NA,NA,South East
Llandrindod Wells,Monmouth Town,77.38,89.58,48.08168798,South East
Monmouth Town,Monmouth Town,NA,NA,NA,South East
Newport City,Monmouth Town,23.28,26.78,14.46551688,South East
Panteg,Monmouth Town,30.09,32.42,18.69705339,South East
Rhayader Town,Monmouth Town,86.52,96.63,53.76101892,South East
Tredegar Town,Monmouth Town,33.22,34.6,20.64194462,South East
Treowen Stars,Monmouth Town,17.72,23.3,11.01069412,South East
Trethomas Bluebirds,Monmouth Town,26.08,31.98,16.20535568,South East
Aberbargoed Buds,Newport City,31.78,48.07,19.74717038,South East
Abergavenny Town,Newport City,44.38,36.47,27.57644498,South East
Abertillery Bluebirds,Newport City,33.93,47.03,21.08311803,South East
Abertillery Excelsiors,Newport City,35.52,50.23,22.07109792,South East
Caldicot Town,Newport City,19.3,29.33,11.9924603,South East
Chepstow Town,Newport City,26.96,23.75,16.75216216,South East
Croesyceiliog,Newport City,12.56,20.7,7.80441976,South East
Goytre FC,Newport City,23.35,28.02,14.50901285,South East
Llandrindod Wells,Newport City,108.18,107.98,67.21991478,South East
Monmouth Town,Newport City,23.35,28.02,14.50901285,South East
Newport City,Newport City,NA,NA,NA,South East
Panteg,Newport City,13.16,23.32,8.17724236,South East
Rhayader Town,Newport City,117.32,115.03,72.89924572,South East
Tredegar Town,Newport City,64.02,53,39.78017142,South East
Treowen Stars,Newport City,23.34,37.25,14.50279914,South East
Trethomas Bluebirds,Newport City,37.6,40.18,23.3635496,South East
Aberbargoed Buds,Panteg,19.92,29.65,12.37771032,South East
Abergavenny Town,Panteg,43.64,45.55,27.11663044,South East
Abertillery Bluebirds,Panteg,20.44,32.22,12.70082324,South East
Abertillery Excelsiors,Panteg,22.04,35.42,13.69501684,South East
Caldicot Town,Panteg,32.52,36.67,20.20698492,South East
Chepstow Town,Panteg,40.18,31.08,24.96668678,South East
Croesyceiliog,Panteg,21.27,25.12,13.21656117,South East
Goytre FC,Panteg,32.06,32.43,19.92115426,South East
Llandrindod Wells,Panteg,107.44,117.07,66.76010024,South East
Monmouth Town,Panteg,32.06,32.43,19.92115426,South East
Newport City,Panteg,13.4,22.3,8.3263714,South East
Panteg,Panteg,NA,NA,NA,South East
Rhayader Town,Panteg,116.58,124.12,72.43943118,South East
Tredegar Town,Panteg,28.37,41.55,17.62829527,South East
Treowen Stars,Panteg,11.48,18.83,7.13333908,South East
Trethomas Bluebirds,Panteg,18.65,25.85,11.58856915,South East
Aberbargoed Buds,Rhayader Town,96.26,107.23,59.81317246,South East
Abergavenny Town,Rhayader Town,74.39,84.52,46.22378869,South East
Abertillery Bluebirds,Rhayader Town,85.61,100.43,53.19557131,South East
Abertillery Excelsiors,Rhayader Town,87.2,103.63,54.1835512,South East
Caldicot Town,Rhayader Town,125.04,126.53,77.69622984,South East
Chepstow Town,Rhayader Town,132.69,120.95,82.44971799,South East
Croesyceiliog,Rhayader Town,95.68,106.85,59.45277728,South East
Goytre FC,Rhayader Town,86.11,96.07,53.50625681,South East
Llandrindod Wells,Rhayader Town,19.02,22.3,11.81847642,South East
Monmouth Town,Rhayader Town,86.11,96.07,53.50625681,South East
Newport City,Rhayader Town,107.28,117.73,66.66068088,South East
Panteg,Rhayader Town,114.09,123.37,70.89221739,South East
Rhayader Town,Rhayader Town,NA,NA,NA,South East
Tredegar Town,Rhayader Town,91.09,97.75,56.60068439,South East
Treowen Stars,Rhayader Town,101.72,114.25,63.20585812,South East
Trethomas Bluebirds,Rhayader Town,97.88,103.6,60.81979348,South East
Aberbargoed Buds,Tredegar Town,10.15,18.2,6.30691565,South East
Abergavenny Town,Tredegar Town,23.55,28.8,14.63328705,South East
Abertillery Bluebirds,Tredegar Town,21.03,26.98,13.06743213,South East
Abertillery Excelsiors,Tredegar Town,22.67,30.17,14.08648057,South East
Caldicot Town,Tredegar Town,71.84,57.02,44.63929264,South East
Chepstow Town,Tredegar Town,79.87,58.62,49.62890177,South East
Croesyceiliog,Tredegar Town,42.75,44.63,26.56361025,South East
Goytre FC,Tredegar Town,33.22,34.6,20.64194462,South East
Llandrindod Wells,Tredegar Town,82.08,91.3,51.00213168,South East
Monmouth Town,Tredegar Town,33.22,34.6,20.64194462,South East
Newport City,Tredegar Town,64.02,53,39.78017142,South East
Panteg,Tredegar Town,28.37,41.55,17.62829527,South East
Rhayader Town,Tredegar Town,91.09,97.75,56.60068439,South East
Tredegar Town,Tredegar Town,NA,NA,NA,South East
Treowen Stars,Tredegar Town,15.48,27.68,9.61882308,South East
Trethomas Bluebirds,Tredegar Town,18.15,33.28,11.27788365,South East
Aberbargoed Buds,Treowen Stars,7.84,17.15,4.87154864,South East
Abergavenny Town,Treowen Stars,29.28,36.07,18.19374288,South East
Abertillery Bluebirds,Treowen Stars,10,18.92,6.21371,South East
Abertillery Excelsiors,Treowen Stars,11.6,22.12,7.2079036,South East
Caldicot Town,Treowen Stars,41.09,47.23,25.53213439,South East
Chepstow Town,Treowen Stars,48.75,41.65,30.29183625,South East
Croesyceiliog,Treowen Stars,15.46,23.78,9.60639566,South East
Goytre FC,Treowen Stars,17.69,22.95,10.99205299,South East
Llandrindod Wells,Treowen Stars,93.07,107.58,57.83099897,South East
Monmouth Town,Treowen Stars,17.69,22.95,10.99205299,South East
Newport City,Treowen Stars,23.67,36.1,14.70785157,South East
Panteg,Treowen Stars,11.77,19.68,7.31353667,South East
Rhayader Town,Treowen Stars,102.21,114.63,63.51032991,South East
Tredegar Town,Treowen Stars,15.48,27.68,9.61882308,South East
Treowen Stars,Treowen Stars,NA,NA,NA,South East
Trethomas Bluebirds,Treowen Stars,9.64,15.18,5.99001644,South East
Aberbargoed Buds,Trethomas Bluebirds,7.99,15.15,4.96475429,South East
Abergavenny Town,Trethomas Bluebirds,37.66,44.87,23.40083186,South East
Abertillery Bluebirds,Trethomas Bluebirds,18.68,29.08,11.60721028,South East
Abertillery Excelsiors,Trethomas Bluebirds,20.28,32.28,12.60140388,South East
Caldicot Town,Trethomas Bluebirds,56.37,50.93,35.02668327,South East
Chepstow Town,Trethomas Bluebirds,64.03,45.35,39.78638513,South East
Croesyceiliog,Trethomas Bluebirds,23.84,32.58,14.81348464,South East
Goytre FC,Trethomas Bluebirds,26.08,31.75,16.20535568,South East
Llandrindod Wells,Trethomas Bluebirds,88.25,96.07,54.83599075,South East
Monmouth Town,Trethomas Bluebirds,26.08,31.75,16.20535568,South East
Newport City,Trethomas Bluebirds,37.32,37.48,23.18956572,South East
Panteg,Trethomas Bluebirds,15.26,26.88,9.48212146,South East
Rhayader Town,Trethomas Bluebirds,97.39,103.12,60.51532169,South East
Tredegar Town,Trethomas Bluebirds,18.15,33.28,11.27788365,South East
Treowen Stars,Trethomas Bluebirds,9.72,15.7,6.03972612,South East
Trethomas Bluebirds,Trethomas Bluebirds,NA,NA,NA,South East
AFC Llwydcoed,AFC Llwydcoed,NA,NA,NA,South West
AFC Porth,AFC Llwydcoed,22.4,41.23,13.9187104,South West
Caerau Ely,AFC Llwydcoed,50.69,45.08,31.49729599,South West
Cwmamman Utd,AFC Llwydcoed,68,62.57,42.253228,South West
Dinas Powys,AFC Llwydcoed,60.08,52.13,37.33196968,South West
Garden Village,AFC Llwydcoed,50.44,42.92,31.34195324,South West
Penrhiwceiber Rangers,AFC Llwydcoed,11.91,23.67,7.40052861,South West
Penydarren BGC,AFC Llwydcoed,9.75,13.73,6.05836725,South West
Pontardawe Town,AFC Llwydcoed,46.26,43.12,28.74462246,South West
Pontyclun,AFC Llwydcoed,42.57,46.85,26.45176347,South West
STM Sports,AFC Llwydcoed,49.69,51.45,30.87592499,South West
Ton Pentre,AFC Llwydcoed,24.49,37.38,15.21737579,South West
Treharris Athletic,AFC Llwydcoed,23.75,27.35,14.75756125,South West
West End,AFC Llwydcoed,33.63,30.28,20.89670673,South West
Ynyshir Albions,AFC Llwydcoed,19.97,38.05,12.40877887,South West
Ynysygerwn,AFC Llwydcoed,33.63,30.28,20.89670673,South West
AFC Llwydcoed,AFC Porth,22.55,41.48,14.01191605,South West
AFC Porth,AFC Porth,NA,NA,NA,South West
Caerau Ely,AFC Porth,31.64,37.97,19.66017844,South West
Cwmamman Utd,AFC Porth,95.24,88.12,59.17937404,South West
Dinas Powys,AFC Porth,41.03,45.02,25.49485213,South West
Garden Village,AFC Porth,77.68,68.47,48.26809928,South West
Penrhiwceiber Rangers,AFC Porth,18.7,30.35,11.6196377,South West
Penydarren BGC,AFC Porth,28.13,35.67,17.47916623,South West
Pontardawe Town,AFC Porth,73.51,68.67,45.67698221,South West
Pontyclun,AFC Porth,14.33,28.37,8.90424643,South West
STM Sports,AFC Porth,30.64,44.33,19.03880744,South West
Ton Pentre,AFC Porth,6.86,14,4.26260506,South West
Treharris Athletic,AFC Porth,17.05,28.68,10.59437555,South West
West End,AFC Porth,60.78,57,37.76692938,South West
Ynyshir Albions,AFC Porth,3.25,7.82,2.01945575,South West
Ynysygerwn,AFC Porth,60.78,57,37.76692938,South West
AFC Llwydcoed,Caerau Ely,51.62,47.55,32.07517102,South West
AFC Porth,Caerau Ely,26.76,39.08,16.62788796,South West
Caerau Ely,Caerau Ely,NA,NA,NA,South West
Cwmamman Utd,Caerau Ely,90.56,74.22,56.27135776,South West
Dinas Powys,Caerau Ely,11.35,22.32,7.05256085,South West
Garden Village,Caerau Ely,73,54.57,45.360083,South West
Penrhiwceiber Rangers,Caerau Ely,36.29,38.13,22.54955359,South West
Penydarren BGC,Caerau Ely,45.72,43.45,28.40908212,South West
Pontardawe Town,Caerau Ely,68.83,54.77,42.76896593,South West
Pontyclun,Caerau Ely,15.63,23.87,9.71202873,South West
STM Sports,Caerau Ely,14.49,33.03,9.00366579,South West
Ton Pentre,Caerau Ely,32.13,47.88,19.96465023,South West
Treharris Athletic,Caerau Ely,34.64,36.47,21.52429144,South West
West End,Caerau Ely,56.1,43.1,34.8589131,South West
Ynyshir Albions,Caerau Ely,27.77,42.42,17.25547267,South West
Ynysygerwn,Caerau Ely,56.1,43.1,34.8589131,South West
AFC Llwydcoed,Cwmamman Utd,45.35,68.87,28.17917485,South West
AFC Porth,Cwmamman Utd,95.62,88.62,59.41549502,South West
Caerau Ely,Cwmamman Utd,90.66,74.5,56.33349486,South West
Cwmamman Utd,Cwmamman Utd,NA,NA,NA,South West
Dinas Powys,Cwmamman Utd,100.04,81.55,62.16195484,South West
Garden Village,Cwmamman Utd,29.21,36.42,18.15024691,South West
Penrhiwceiber Rangers,Cwmamman Utd,55.28,86.65,34.34938888,South West
Penydarren BGC,Cwmamman Utd,53.35,76.28,33.15014285,South West
Pontardawe Town,Cwmamman Utd,14.27,28.42,8.86696417,South West
Pontyclun,Cwmamman Utd,84.49,73.4,52.49963579,South West
STM Sports,Cwmamman Utd,100.25,88.3,62.29244275,South West
Ton Pentre,Cwmamman Utd,58.95,88.45,36.62982045,South West
Treharris Athletic,Cwmamman Utd,67.35,89.9,41.84933685,South West
West End,Cwmamman Utd,36.05,38.6,22.40042455,South West
Ynyshir Albions,Cwmamman Utd,96.64,91.95,60.04929344,South West
Ynysygerwn,Cwmamman Utd,36.05,38.6,22.40042455,South West
AFC Llwydcoed,Dinas Powys,61.38,56.3,38.13975198,South West
AFC Porth,Dinas Powys,36.52,47.83,22.69246892,South West
Caerau Ely,Dinas Powys,11.23,21.75,6.97799633,South West
Cwmamman Utd,Dinas Powys,100.32,82.97,62.33593872,South West
Dinas Powys,Dinas Powys,NA,NA,NA,South West
